trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,False,"{'a': 0.7, 'e': 0.9305308958112057}",25,0,-7.982111099198419,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.9277434863285529}",20,1,-68.26615512963541,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
26,False,"{'a': 0.7, 'e': 0.9249644265435393}",30,5,-12.168465756458168,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.7, 'e': 0.922193691444608}",25,0,-36.89967137000267,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.9194312560951247}",30,0,-46.34834693844378,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
29,False,"{'a': 0.7, 'e': 0.9166770956331523}",25,8,20.337291714326575,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.9139311852712282}",20,8,14.954034719081553,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.9111935002961405}",25,0,10.344497231285967,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.9084640160687062}",30,13,-16.667951802276367,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.7, 'e': 0.9057427080235485}",25,0,-39.30714318461463,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.7, 'e': 0.9030295516688768}",30,14,4.552815642337131,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.9003245225862656}",20,1,21.585229776983756,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.8976275964304349}",30,15,14.841337694432694,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.894938748929031}",25,0,31.94800848296844,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.7, 'e': 0.8922579558824083}",30,20,17.557285503528366,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.8895851931634113}",35,0,0.761394964474768,"{0: 32, 1: 1, 2: 0, 3: 2, 4: 0}",0
40,False,"{'a': 0.7, 'e': 0.8869204367171575}",20,9,17.58225044467041,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.8842636625608209}",20,0,-85.16143981419164,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
42,False,"{'a': 0.7, 'e': 0.8816148467834161}",25,3,-11.907649435249468,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.7, 'e': 0.8789739655455832}",20,6,-17.33247691636762,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.7, 'e': 0.8763409950793734}",25,12,-19.135556429459808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.7, 'e': 0.8737159116880344}",20,12,-26.04120850658108,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.7, 'e': 0.8710986917457983}",20,8,-2.703681032461377,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.8684893116976679}",20,0,-78.8067134668952,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
48,False,"{'a': 0.7, 'e': 0.865887748059205}",20,8,24.18590329246966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.8632939774163194}",20,5,23.150706395819306,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.8607079764250578}",25,2,13.415292070754877,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.8581297218113938}",20,16,7.653633135902091,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.8555591903710185}",25,9,27.184799952084816,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.8529963589691315}",25,16,-29.90482801377978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.7, 'e': 0.850441204540233}",35,7,31.78623581946475,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.8478937040879159}",25,18,12.937767344027215,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.8453538346846587}",20,3,-26.198751038717006,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.7, 'e': 0.8428215734716199}",20,13,7.976964606926996,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.8402968976584314}",30,10,16.175029925594924,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.8377797845229938}",20,8,-24.43246626327856,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.835270211411272}",20,0,24.01107770988599,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.832768155737091}",20,14,8.229275740671158,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.8302735949819328}",20,0,27.236554554269876,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.7, 'e': 0.8277865066947336}",30,0,-34.23616205114271,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
64,False,"{'a': 0.7, 'e': 0.8253068684916824}",30,0,37.07166114517317,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.7, 'e': 0.8228346580560184}",25,15,-25.545820067605458,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.7, 'e': 0.8203698531378311}",25,0,15.643706338110505,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.8179124315538594}",20,0,-21.07472254030791,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
68,False,"{'a': 0.7, 'e': 0.8154623711872927}",20,0,33.75614880429533,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.7, 'e': 0.813019649987571}",25,6,16.053923880861984,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.8105842459701871}",25,18,10.052797323673957,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.8081561372164884}",20,4,3.116535228123535,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.8057353018734796}",20,0,27.144815273813663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.8033217181536265}",30,7,-51.569384365636324,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 2}",1
74,False,"{'a': 0.7, 'e': 0.8009153643346592}",30,20,-3.502560984381801,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.7985162187593771}",30,0,11.5012496056264,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.7961242598354538}",20,8,-17.41375178172892,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.7, 'e': 0.7937394660352428}",20,0,-25.8182361950389,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.7, 'e': 0.7913618158955839}",20,0,27.690896573792045,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.7, 'e': 0.7889912880176096}",30,0,-25.489108791451493,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
80,False,"{'a': 0.7, 'e': 0.7866278610665535}",25,8,-52.148639066103264,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
81,False,"{'a': 0.7, 'e': 0.7842715137715565}",20,8,-24.277335155473175,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.7, 'e': 0.7819222249254772}",20,0,28.417701615643935,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.7795799733847004}",25,16,15.098887822094575,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.7772447380689461}",25,0,32.31630318280575,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.7, 'e': 0.774916497961081}",25,6,25.883502638198,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.772595232106928}",20,0,19.601000290693765,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.7, 'e': 0.7702809196150792}",25,2,-3.024397378260648,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.7679735396567062}",30,9,22.69684199854027,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.7656730714653739}",30,16,24.33463252592503,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.7633794943368531}",20,2,26.51635956115638,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.7610927876289343}",20,1,25.67349149189657,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.7588129307612415}",25,5,-9.806335625900077,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.7, 'e': 0.7565399032150474}",20,8,9.606881512747474,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.754273684533089}",20,0,20.26033061127116,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.7, 'e': 0.7520142543193826}",20,0,3.9515153976691026,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
96,False,"{'a': 0.7, 'e': 0.7497615922390413}",35,25,-5.893319128160247,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.747515678018091}",20,9,15.117311353331349,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.7452764914432887}",30,0,17.4374904968826,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
99,False,"{'a': 0.7, 'e': 0.7430440123619398}",20,0,12.448822391394547,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.7, 'e': 0.7408182206817179}",25,13,20.647740472541933,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 0.7385990963704826}",20,3,-41.09863781528488,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
102,False,"{'a': 0.7, 'e': 0.7363866194561002}",25,7,34.887328797936604,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.7341807700262634}",20,16,6.993476052346445,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.7319815282283126}",30,13,4.289833932222257,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 0.7297888742690568}",25,9,27.180360883119366,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.7276027884145955}",30,0,41.07860564136656,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.7, 'e': 0.7254232509901412}",20,14,9.14737034877917,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
